id,revenue,release_date,cast,crew,return,budget,title
8844,262797249.0,1995-12-15,"['Robin Williams', 'Jonathan Hyde', 'Kirsten Dunst', 'Bradley Pierce']",[],4.0430346,65000000,Jumanji
15602,0.0,1995-12-22,"['Walter Matthau', 'Jack Lemmon', 'Ann-Margret', 'Sophia Loren']",['Howard Deutch'],0.0,0,Grumpier Old Men
31357,81452156.0,1995-12-22,"['Whitney Houston', 'Angela Bassett', 'Loretta Devine', 'Lela Rochon']",['Forest Whitaker'],5.09075975,16000000,Waiting to Exhale
11862,76578911.0,1995-02-10,"['Steve Martin', 'Diane Keaton', 'Martin Short', 'Kimberly Williams-Paisley']",[],0.0,0,Father of the Bride Part II
949,187436818.0,1995-12-15,"['Al Pacino', 'Robert De Niro', 'Val Kilmer', 'Jon Voight']",['Michael Mann'],3.123946966666667,60000000,Heat
11860,0.0,1995-12-15,"['Harrison Ford', 'Julia Ormond', 'Greg Kinnear', 'Angie Dickinson']",['Sydney Pollack'],0.0,58000000,Sabrina
45325,0.0,1995-12-22,"['Jonathan Taylor Thomas', 'Brad Renfro', 'Rachael Leigh Cook', 'Michael McShane']",[],0.0,0,Tom and Huck
9091,64350171.0,1995-12-22,"['Jean-Claude Van Damme', 'Powers Boothe', 'Dorian Harewood', 'Raymond J. Barry']",['Peter Hyams'],1.8385763142857143,35000000,Sudden Death
710,352194034.0,1995-11-16,"['Pierce Brosnan', 'Sean Bean', 'Izabella Scorupco', 'Famke Janssen']",['Martin Campbell'],6.072310931034483,58000000,GoldenEye
9087,107879496.0,1995-11-17,"['Michael Douglas', 'Annette Bening', 'Michael J. Fox', 'Martin Sheen']",[],1.739991870967742,62000000,The American President
21032,11348324.0,1995-12-22,"['Kevin Bacon', 'Bob Hoskins', 'Bridget Fonda', 'Jim Cummings']",[],0.0,0,Balto
10858,13681765.0,1995-12-22,"['Anthony Hopkins', 'Joan Allen', 'Powers Boothe', 'Ed Harris']",['Oliver Stone'],0.3109492045454545,44000000,Nixon
1408,10017322.0,1995-12-22,"['Geena Davis', 'Matthew Modine', 'Frank Langella', 'Maury Chaykin']",[],0.1022175714285714,98000000,Cutthroat Island
524,116112375.0,1995-11-22,"['Robert De Niro', 'Sharon Stone', 'Joe Pesci', 'James Woods']",['Martin Scorsese'],2.2329302884615383,52000000,Casino
